Time,Time Code,Country Name,Country Code,GDP (current US$),Gini index (World Bank estimate),"Foreign direct investment, net inflows (BoP, current US$)","Life expectancy at birth, total (years)",Exports of goods and services (% of GDP),Poverty headcount ratio at national poverty lines (% of population),"Inflation, consumer prices (annual %)","Compulsory education, duration (years)","Government expenditure on education, total (% of GDP)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Arms imports (SIPRI trend indicator values),Fossil fuel energy consumption (% of total),Gross domestic savings (% of GDP),Gross savings (% of GDP),Human capital index (HCI) (scale 0-1),Research and development expenditure (% of GDP),"International tourism, number of arrivals","International tourism, receipts (current US$)","International tourism, number of departures",GNI (current US$),Individuals using the Internet (% of population)
2002,YR2002,Bosnia and Herzegovina,BIH,6651106833.49374,..,267769568.956599,74.803,24.3478518196947,..,..,8,..,..,..,..,..,87.7490470911173,..,..,..,..,160000,307000000,..,7159190134.74495,2.64827
2002,YR2002,Botswana,BWA,5438857106.73536,64.7,407997828.632639,50.232,52.1574267782427,30.6,8.03279662527486,..,..,..,..,..,1000000,65.3772214083359,40.2455253370525,31.434570798765,..,..,1274000,324000000,..,4740668162.71058,3.38592
2002,YR2002,Brazil,BRA,507962487700.024,58.1,16586600193.114,70.813,14.2305902713775,..,8.4501643770833,8,3.75037002563477,..,..,..,223000000,57.1539976067783,18.2919026240197,15.4075368110728,..,1.00968,3785000,2142000000,2338000,490921176362.21,9.14943
2002,YR2002,British Virgin Islands,VGB,..,..,5451882000,..,..,..,..,12,..,..,..,..,..,..,..,..,..,..,282000,345000000,..,..,18.8857
2002,YR2002,Brunei Darussalam,BRN,5843329107.56171,..,229671955.675395,73.332,67.1218302942605,..,-2.3149724245932,..,..,..,..,..,1000000,99.9999072952175,47.229130783101,45.7021633571297,..,0.01592,..,113000000,..,5843329107.56171,15.3299
2002,YR2002,Bulgaria,BGR,16402846413.0958,..,904659791.087722,71.8658536585366,33.6473037196123,..,5.81014365721823,9,3.38608002662659,..,..,..,..,70.4665561092248,12.5540173047927,17.9851935768516,..,0.46834,3433000,1392000000,3188000,16746346413.0958,9.08
2002,YR2002,Burkina Faso,BFA,3622350203.94595,..,15026083.6628,51.384,8.86536563219181,..,2.17569480664608,10,..,..,..,..,..,..,-0.130106710683566,..,..,0.33866,150000,37000000,..,3588060318.58699,0.200993
2002,YR2002,Burundi,BDI,825394490.159111,..,0,50.81,4.68580418118256,..,-1.36568005328061,..,3.00493001937866,..,..,..,3000000,..,-8.35356084580785,4.20017398723749,..,..,74000,1600000,..,811709078.127599,0.118228
2002,YR2002,Cabo Verde,CPV,620974660.230303,..,14759046.6769552,69.557,32.5449567130458,..,1.88453410076764,6,7.87682008743286,..,..,..,..,..,..,..,..,..,126000,100000000,..,606246005.721718,3.51876
2002,YR2002,Cambodia,KHM,4284028482.53766,..,130956363.872694,60.283,55.422133135624,..,3.22508361481579,..,1.71121001243591,..,..,..,..,18.6214465678362,8.49714744501145,14.3561391805386,..,0.0498,787000,509000000,45000,4096441959.94383,0.226983
2002,YR2002,Cameroon,CMR,11579343088.1613,..,505256043.293607,51.536,24.296900395925,..,2.83442260128067,6,..,..,..,..,6000000,15.8114335343114,19.5744162738975,14.2183399667327,..,..,..,124000000,..,10906514675.5713,0.360872
2002,YR2002,Canada,CAN,757950678646.53,..,24486425376.8819,79.490243902439,40.201285970346,..,2.25839440940856,10,5.01072978973389,..,..,..,436000000,75.1633668641508,23.9398479299711,21.8020873239905,..,1.97873,20057000,12744000000,17705000,741406996750.143,61.5933
2002,YR2002,Cayman Islands,CYM,..,..,2802975000,..,..,..,..,12,..,..,..,..,..,..,..,..,..,..,303000,607000000,..,..,..
2002,YR2002,Central African Republic,CAF,991387870.12463,..,5644286.5587,44.063,15.96270493648,..,..,10,1.5195699930191,..,..,..,..,..,5.44173382729588,..,..,..,2900,3000000,5000,982309385.151714,0.128537
2002,YR2002,Chad,TCD,1997005786.54118,..,924119210.0868,47.9,12.6899405964434,..,5.19181895195446,6,..,..,..,..,..,..,-40.8147536268974,..,..,..,..,25000000,..,1936981359.29949,0.16607
2002,YR2002,Channel Islands,CHI,6663669064.7482,..,..,79.548,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6482314148.68106,..
2002,YR2002,Chile,CHL,69736811435.1032,..,2549923142.41108,76.894,32.8039336278624,..,2.48939816650703,8,4.08121013641357,..,..,..,74000000,73.200718363679,24.5472175093976,21.5054175236778,..,..,1412000,1221000000,1293000,67033029762.5337,22.1
2002,YR2002,China,CHN,1470550015081.55,42,53073618897.4036,72.061,22.64474567395,..,-0.731975500083577,9,..,..,..,..,2875000000,81.202125230752,39.0165567529092,38.8832254802573,..,1.05786,36803000,21742000000,16602000,1455604866961.46,4.5957
2002,YR2002,Colombia,COL,97963003804.7851,55.8,2133698124.14946,73.517,14.8155696775272,49.7,6.35192507425155,10,4.26812982559204,..,..,..,171000000,74.9478565303415,13.9000419854641,13.924984788252,..,0.13944,567000,1237000000,1277000,95331633503.9279,4.6
2002,YR2002,Comoros,COM,425964697.418664,..,430423.4793,59.617,8.83617675060801,..,3.53304214308075,6,2.25841999053955,..,..,..,..,..,-0.0424143703496478,..,..,..,18900,10900000,..,425207827.288472,0.55487
2002,YR2002,"Congo, Dem. Rep.",COD,8728038525.14034,..,187598693.6937,51.385,15.6713428067886,..,31.5225826025495,6,..,..,..,..,12000000,1.71458508382986,9.46163105352923,..,..,..,28000,..,..,8430337554.61324,0.0927907
2002,YR2002,"Congo, Rep.",COG,3034251042.07329,..,199155450.954144,53.091,81.5164254833959,..,4.37875971780872,10,3.20831990242004,..,..,..,..,24.2569489495484,51.9090786070597,23.5497916763512,..,..,..,25600000,..,2183515345.53473,0.15725
2002,YR2002,Costa Rica,CRI,16504795592.7964,51.9,723172624.768835,77.74,39.4004598290158,..,9.16640559221474,11,5.17354011535645,..,..,..,..,55.0019531686709,17.9538148217616,14.3735980680102,..,..,1113000,1429000000,364000,15743590601.9677,19.8949
2002,YR2002,Cote d'Ivoire,CIV,12405208665.4831,41.3,212580417.4534,49.475,47.4623494754671,..,3.0772648515743,10,4.09033012390137,..,..,..,31000000,37.8487156284546,20.969694701985,..,..,..,..,56000000,..,10857690889.8375,0.497929
2002,YR2002,Croatia,HRV,26813968850.5192,..,980784304.813265,74.7173170731707,36.2125231975375,..,1.67178437393382,8,3.81978011131287,..,..,..,2000000,79.7087521961615,15.2092396442826,18.2925124034204,..,0.94846,6944000,3952000000,..,26355714857.8312,17.76
2002,YR2002,Cuba,CUB,33590500000,..,..,77.105,11.5270686652476,..,..,9,9.57116985321045,..,68.7751007080078,9.35904026031494,..,72.6293850564265,7.52124588797428,..,..,0.56445,1656000,1769000000,111000,32979826200,3.77059
2002,YR2002,Curacao,CUW,..,..,..,..,..,..,0.391389432485314,9,..,..,..,..,..,..,..,..,..,..,218000,217000000,..,..,..
2002,YR2002,Cyprus,CYP,11420227884.6154,..,1103449726.13198,78.264,62.4053120319487,..,2.80115505180746,9,5.58166980743408,..,..,..,1000000,97.7756552510606,21.6303611750978,17.4952612506446,..,0.27967,2418000,2178000000,744000,10831199038.4615,28.32
2002,YR2002,Czech Republic,CZE,82196001050.7474,26.6,8496609035.7758,75.2219512195122,45.0041286043534,..,1.90298097019031,..,3.97255992889404,..,..,..,42000000,86.8719392271477,29.290645571022,26.8038430389991,..,1.10202,4743000,3376000000,..,79239888083.1801,23.93
2002,YR2002,Denmark,DNK,178635163717.431,..,4430703178.95052,76.8951219512195,45.7044791859005,..,2.42443661219694,9,8.2130298614502,..,..,..,45000000,87.9899084650889,28.195037931528,25.2583945609658,..,2.44145,3436000,4791000000,4935000,176412403257.882,64.25
2002,YR2002,Djibouti,DJI,591122039.601398,40,3432346.2055694,57.235,..,..,0.637619553666345,10,8.44760036468506,..,..,..,3000000,..,..,..,..,..,22500,8900000,..,606415674.005886,0.486972
2002,YR2002,Dominica,DMA,333195185.185185,..,20110637.037037,76.5975609756098,36.9656090802077,..,0.170055330197674,12,..,..,..,..,..,..,..,..,..,..,69000,46000000,..,305264814.814815,18.4249
2002,YR2002,Dominican Republic,DOM,27137508655.3127,49.7,926000000,69.957,30.7240101573319,..,5.22336769759447,9,1.9140100479126,..,..,..,0,88.2630815860735,19.6814930822892,23.7983842265501,..,..,2811000,2730000000,332000,25985430345.9163,6.82373
2002,YR2002,Ecuador,ECU,28548945000,..,783261009.55,73.371,21.4923738863205,..,12.4840185721018,10,..,..,..,..,1000000,85.4397382541036,17.310576625511,18.7078718571261,..,0.05534,683000,449000000,627000,27296182800,4.2608
2002,YR2002,"Egypt, Arab Rep.",EGY,85146067415.7303,..,646900000,68.961,18.3161784111903,..,2.73723855000332,9,..,..,..,..,719000000,94.8704914261058,13.6447611506994,18.4079875956717,..,..,4906000,4133000000,..,85241867415.7303,2.72
2002,YR2002,El Salvador,SLV,12664190300,51.9,470000000,69.432,25.5130894550755,..,1.86552503610078,9,3.242840051651,..,..,..,19000000,44.2087006909016,2.17175905829526,15.5914879137595,..,..,798000,521000000,..,12340790300,1.9
2002,YR2002,Equatorial Guinea,GNQ,1806742742.27311,..,323391507.4578,53.84,..,..,7.59247849833242,5,..,..,..,..,..,..,..,..,..,..,..,..,..,821380430.543874,0.321198
2002,YR2002,Eritrea,ERI,729321366.651861,..,22766165.86,56.5,11.7811808402808,..,..,..,3.52390003204346,..,..,..,18000000,26.8514905989118,-23.4788686675121,..,..,..,101000,73000000,..,723218652.834893,0.22709
2002,YR2002,Estonia,EST,7372457379.67411,..,338234260.376913,70.9048780487805,57.920649395746,..,3.57191270164023,9,5.43131017684937,..,..,..,1000000,29.5870558288905,26.3773967599202,21.9106444891331,..,0.71649,1362000,737000000,1849000,6978783083.73363,41.52
2002,YR2002,Eswatini,SWZ,1432228172.702,..,92945313.1719951,44.41,81.0377998484767,..,12.0197154699231,..,4.44086980819702,..,..,..,..,..,16.2731996671455,23.1983661792983,..,..,256000,45000000,..,1435491523.33337,1.8162
2002,YR2002,Ethiopia,ETH,7850809498.16803,..,255000000,53.349,..,..,1.6537293283834,8,3.63245010375977,..,..,..,20000000,4.18622995187848,..,..,..,..,156000,261000000,..,7797207615.85915,0.0724023
2002,YR2002,Faroe Islands,FRO,1262669892.4595,..,..,78.7878048780488,47.3415994542755,..,..,..,..,..,..,..,..,..,22.012559688616,33.2678255587657,..,..,..,..,..,1302696745.91815,53.2992
2002,YR2002,Fiji,FJI,1842691481.09196,38.1,30672578.3302519,66.022,61.4847155503697,39.8,0.762032085561215,..,6.24382019042969,..,..,..,..,..,30.3609971953818,36.9829370653325,..,..,398000,384000000,99000,1857506973.34126,6.15265
