"country_name","country_code","foreign_inv_inflows","exports_perc_gdp","inflation_perc","education_years","education_perc_gdp","gds_perc_gdp","gross_savings_perc_gdp","int_tourism_arrivals","int_tourism_receipts","perc_internet_users","access_to_electricity","agricultural_land","birth_rate","gne","mobile_subscriptions","infant_mort_rate","sex_ratio","greenhouse_gas_em","urban_pop_perc","hdi","hdi_cat"
"Albania","ALB",1.35e+08,20.9456511360868,7.7705258343155,8,3.11779999732971,8.63026445768279,25.9386666800329,1247000,4.92e+08,0.390081,99.9,41.6058394160584,14.79,126.63378150953,27.2217,21.7,1.116,7503.05976,43.501,0.795,"high"
"Algeria","DZA",1064960000,35.5045602584257,1.41830192345045,10,4.33701992034912,40.5282271705172,51.8608352051963,988000,1.11e+08,1.59164,98.8776245117188,16.7335645368512,19.27,90.1251644456826,1.41341,32.4,1.05,131222.654,61.501,0.748,"high"
"Angola","AGO",1743504000,57.0849959046266,2.17569480664608,4,2.12011003494263,39.3615726233684,28.8768162146426,91000,5.1e+07,0.270377,25.0560569763184,46.0335285152803,47.911,91.131600501965,0.799113,114.2,1.02,34490.369,52.461,0.581,"medium"
"Antigua and Barbuda","ATG",65865064.8148148,91.6942191983919,2.40765801293492,11,3.39427995681763,16.3828035819049,11.9828950851134,218000,2.74e+08,12.5,92.2,20.4545454545455,19.339,105.765338839292,48.7962,12.4,1.03,406.432042,31.098,0.778,"high"
"Argentina","ARG",2148910000,28.3825969991682,44.9641209479849,10,4.01734018325806,25.866328843816,21.3431768782392,2820000,1.716e+09,10.8821,96.10791015625,47.031267699301,19.175,84.9875763964425,17.4268,16.4,1.04,311051.93,89.51,0.845,"very high"
"Armenia","ARM",110725325.614409,27.832108365994,1.06004929341667,12,2.13504004478455,-2.8695128126331,10.2454058280206,162000,8.1e+07,1.96041,98,48.8584474885845,13.208,128.28780957432,2.35167,24.6,1.173,6460.2393,64.236,0.776,"high"
"Australia","AUS",14656321800.5386,20.77459420115,2.98157453936349,10,4.91029977798462,24.4850202783416,21.8456904545298,4841000,1.2148e+10,52.6893,100,58.1856995951733,12.8,100.008087471976,65.3047,5,1.055,1117450.02,84.222,0.944,"very high"
"Austria","AUT",138346430.7562,45.31938619858,1.81035953871319,13,5.52213001251221,27.6213946823083,26.0564137841862,18611000,1.2334e+10,36.56,100,35.1441020970196,9.7,96.0212621576833,82.8087,4.4,1.055,87386.68817,59.655,0.922,"very high"
"Azerbaijan","AZE",2024577000,42.7678350515464,2.7711647199827,10,3.15445995330811,24.6944329896907,19.6539096973196,576000,6.3e+07,4.99971,100,57.4317946998865,13.5,109.88206185567,9.59519,53.7,1.17,40298.546,51.787,0.756,"high"
"Bahamas, The","BHS",152790000,36.175454557738,2.17357792508091,12,3.54300999641418,33.7203698615947,32.1215395849191,1513000,1.773e+09,18,100,1.2987012987013,16.177,90.4881794720509,39.5758,14.1,1.057,3255.00095,82.092,0.814,"very high"
