,year,year_code,country_name,country_code,foreign_inv_inflows,exports_perc_gdp,inflation_perc,education_years,education_perc_gdp,gds_perc_gdp,gross_savings_perc_gdp,int_tourism_arrivals,int_tourism_receipts,perc_internet_users,access_to_electricity,agricultural_land,birth_rate,gne,mobile_subscriptions,infant_mort_rate,sex_ratio,greenhouse_gas_em,urban_pop_perc,hdi,hdi_cat
122,2020,YR2020,North Macedonia,MKD,114193471.4194,26.3008496370576,2.31459794083216,9.0,3.30014991760254,1.89882473963671,13.0709619045615,123000.0,55000000.0,17.33,99.2,52.4577270939835,12.406,118.931398671983,17.8311,12.9,1.054,11250.99586,58.13,0.774,high
123,2020,YR2020,Norway,NOR,3011752930.34115,40.3731263925136,1.28672528415185,10.0,7.43729019165039,33.6148148717574,32.7188589744169,3111000.0,2581000000.0,72.84,100.0,2.86383909043677,12.2,86.8641521665879,83.3696,3.7,1.051,69689.527,76.733,0.957,very high
124,2020,YR2020,Oman,OMN,109232769.830949,58.485930492116,-0.279578822571303,10.0,4.32506990432739,40.1884512479696,27.4445642209855,891000.0,539000000.0,6.8734,100.0,4.11437810796142,22.747,78.8160975211251,19.8299,12.5,1.05,43297.5065,71.529,0.813,very high
125,2020,YR2020,Pakistan,PAK,826000000.0,13.7760034500215,3.29034472613156,12.0,1.76759004592896,16.0335360952609,21.3260719484757,498000.0,562000000.0,2.57743,70.4791564941406,47.8466168534662,33.376,100.081799815427,1.13577,80.7,1.096,256954.135,33.38,0.557,medium
126,2020,YR2020,Palau,PLW,1901014.5644,45.7533754654996,-1.30123617436564,12.0,7.52929019927979,6.06218125321274,25.9876990206864,59000.0,40000000.0,20.2439,98.9165073295092,10.8695652173913,13.0,135.52684154455,12.5172,24.4,,,69.847,0.826,very high
127,2020,YR2020,Panama,PAN,247100000.0,57.6398121134616,1.00583090379042,11.0,4.19163990020752,18.8934073792789,19.5532438566344,534000.0,710000000.0,8.51808,82.8730773925781,30.1022336404107,22.832,104.91489490662,16.6978,20.9,1.05,10475.8582,62.794,0.815,very high
128,2020,YR2020,Papua New Guinea,PNG,20160425.6683546,60.9158105615375,11.7994470972606,,1.96493005752563,24.1044940157007,22.940723795216,54000.0,3000000.0,1.32166,12.8877000808716,2.20818796095924,33.31,97.0874891682039,0.245957,51.7,1.08,84384.8163,13.164,0.555,medium
129,2020,YR2020,Paraguay,PRY,90400000.0,47.4750765387374,10.5102420856612,9.0,3.40773010253906,33.6082881337637,26.9082042568187,250000.0,76000000.0,1.79497,91.666443,49.2851749307828,25.534,84.4914125705748,30.1343,26.7,1.05,83003.028,56.6,0.728,high
130,2020,YR2020,Peru,PER,2155836814.73346,17.2748078529874,0.193135003853741,12.0,2.82056999206543,17.2685802658142,16.951753375854,1064000.0,836000000.0,8.96695,74.382688,17.77734375,22.65,100.699565625795,8.5124,25.5,1.05,51029.146,73.85,0.777,high
131,2020,YR2020,Philippines,PHL,1769000000.0,40.0056799440289,2.72277227722769,10.0,2.89222002029419,16.6256929312538,35.2688416942406,1933000.0,2018000000.0,4.33228,76.9507751464844,37.3444679209847,28.89,103.833444205721,18.9061,27.8,1.06,138051.043,45.965,0.718,high
132,2020,YR2020,Poland,POL,4091000000.0,28.7131224037015,1.90528215048054,10.0,5.39797019958496,14.8480572853952,15.5115868478012,13980000.0,4971000000.0,21.15,100.0,55.1732018675112,9.3,103.561130440992,36.1106,7.3,1.056,375643.178,61.787,0.88,very high
133,2020,YR2020,Portugal,PRT,587893729.66415,27.0733622325977,3.60034658290911,12.0,5.25871992111206,17.7427945455409,17.3691751685405,5560000.0,6643000000.0,19.37,100.0,42.3794532317282,11.0,108.161534951782,83.4779,4.7,1.06,88319.252,55.666,0.864,very high
134,2020,YR2020,Qatar,QAT,623920000.0,60.3427728278758,0.239999999999965,9.0,3.84656000137329,64.8629476193179,60.3291670624751,1699500.0,285000000.0,10.2261,100.0,5.55555555555556,18.11,67.7841779694682,41.6159,10.0,1.048,46983.92434,96.692,0.848,very high
135,2020,YR2020,Romania,ROU,1144000000.0,24.0130293587441,22.5398862605386,10.0,3.5041298866272,16.4885090118637,18.8213473959342,4794000.0,400000000.0,6.58,100.0,64.4625222952103,9.7,105.684189096449,23.3859,17.1,1.058,135160.393,52.78,0.828,very high
136,2020,YR2020,Russian Federation,RUS,3473830000.0,35.2125940630626,15.7887307914462,11.0,3.83502006530762,30.8979271501777,28.774776224551,23309000.0,5278000000.0,4.12827,100.0,13.2257977869402,9.8,89.1316190388255,12.1259,14.8,1.062,2984844.66,73.341,0.824,very high
137,2020,YR2020,Rwanda,RWA,1500000.0,6.23987450268694,1.99258542453993,6.0,3.48989009857178,-2.57233109546913,13.4723204957772,507000.0,31000000.0,0.292785,6.76723527908325,74.2197000405351,38.406,115.190118584688,0.977696,91.9,1.01,4806.285,16.777,0.543,low
138,2020,YR2020,Samoa,WSM,1599402.8896,33.4331037713525,8.05031446540872,8.0,3.84138989448547,,,89000.0,45000000.0,2.24483,89.5121841430664,16.6077738515901,30.01,,1.53055,16.7,1.08,314.98397,21.941,0.715,high
139,2020,YR2020,Sao Tome and Principe,STP,3600000.0,,10.128724672229,6.0,2.72058010101318,,,9200.0,6900000.0,7.58067,53.1661796569824,53.125,39.545,,1.34286,50.2,1.03,190.503443,55.555,0.625,medium
